paper,date,page,chunk_idx,similarity,matched_query,event_type,description,location,participants,date_mentioned,source_text
dallas-express,1919-04-26,1,0,0.654,first national conference on lynching examining causes and demanding federal action,mass_meeting,A national conference on lynching convened to urge concerted action against lawlessness and violence.,"Carnegie Hall, Washington, D.C.","Representatives from twenty-eight states, church leaders, governors, and civil rights activists","May 5-6, 1919","NATIONAL CONFERENCE ON LYNCHING MEETS MAY 5TH AND 6TH

TO URGE CONCERTED ACTION AGAINST LAWLESSNESS

1.

NATIONAL
TO URGE CONCERTE
AGAINS
TWENTY-EIGHT STATES AND
REPRESENTED IN GAS
STATES IN

ONE MILLION DOLLARS THE A. M. E. SLOGAN

Washington, D. C.—""One Million Dollars through the Dollar Money System,"" is the slogan announced by Prof. John R. Hawkins, Financial Secretary of the African Methodist Episcopal Church three years ago and the opening of his second term, and he reported to the J. Annu"
new-york-age,1917-08-02,1,0,0.632,a large procession of Negro men and women marched through the streets bearing signs,parade,"Nearly ten thousand African Americans marched silently down Fifth Avenue in New York to protest mob violence, segregation, Jim Crowism, and racial injustices.","Fifth Avenue, New York","Nearly ten thousand Negroes including professional men, clergymen, and women in white dresses","Saturday, August 2, 1917","Nearly Ten Part in Parade

Nearly Ten Thousand Take Part in Big Silent Protest Parade Down Fifth Avenue

(BY LESTER A WALTON)

Callous and indifferent Manhattan Isle, the wonderful of all American cities, where only the ripple of public interest for the moment, was gird and made to sit up and take notice last Saturday nearly ten thousand Negroes marched down Fifth out uttering one word or making a single gesticl respectful silence against the reign of mob law Crowism,"" and many other indignities"
omaha-monitor,1919-05-10,1,3,0.637,first national conference on lynching examining causes and demanding federal action,mass_meeting,A national conference on lynching with a mass meeting at Carnegie Hall where delegates from various sections of the country gathered to demand congressional investigation and launch an educational campaign against lynching.,New York (Carnegie Hall),"Delegates from various sections of the country, Moorfield Storey, Charles Evans Hughes, Emmett O'Neal, General John H. Sherburne, Dr. Anna Howard Shaw, James Weldon Johnson, and representatives from Omaha",1919-05-07,"National Conference Opposes Lynching

Delegates From Various Sections of Country Unanimous in Demanding Drastic Action For Removal of America's Disgrace.

DEMAND CONGRESSIONAL INVESTIGATION OF EVIL

Launch Educational and Publicity Campaign to Arouse Conscience of American People; Stirring Speeches By Prominent Speakers Disclose Intense Earnestness.

NEW YORK, May 7.—The first national conference on lynching, in response to a call signed by more than 120 of the country's most representative citi"
iowa-bystander,1919-08-01,1,3,0.661,first national conference on lynching examining causes and demanding federal action,petition,"A national address signed by 150 prominent citizens, including former President Taft and Attorney General Palmer, demanding Congressional investigation of lynching and mob violence in the United States.",National (originated from New York City conference),"150 citizens including former President Taft, Attorney General A. Mitchell Palmer, former President Hughes, Elihu Root, Charles Evans Hughes, university heads, state governors, and Senator Arthur Capper","May 5-6, 1919 (conference); August 1, 1919 (publication date)","HUGHES, TAFT, BOOT, A. MITCHELL PALMER SIGN ADDRESS TO NATION DEMANDING CONGRESS INVESTIGATE LYNCHING

Demand for an investigation by congress of mob violence and lynching in the United States is made in an address to the nation signed by 150 citizens throughout the country including former President Taft, Attorney General A. Mitchell Palmer, Dr. Henry Van Dyke, the governors of seven states including Governor A. H. Roberts of Tennessee, every living former attorney general of the United States,"
colorado-statesman,1920-07-31,1,7,0.632,national association made public telegrams sent to governors with reference to lynchings,delegation,"The NAACP sent telegrams to Southern governors demanding action against lynchers and made public their responses, with James Weldon Johnson commenting on the governors' inadequate replies.",North Carolina and Texas,"National Association for the Advancement of Colored People (NAACP), James Weldon Johnson (field secretary), Governors Bickett and Hobby","July 7, 1920 and July 10, 1920 (lynching dates); July 31, 1920 (publication date)","NO. 42

TWO SOUTHERN GOVERNORS REPLY TO ADVANCEMENT AS-

THE National Association for the Advancement of Colored People with headquarters at 70 Fifth avenue, New York city, today made public replies to telegrams sent to Governors Bickett of North Carolina and Hobby of Texas with reference to lynchings in those two states recently. One Negro was lynched at Roxboro, N. C., on July 7 and two brothers were lynched at Paris, Tex., on July 10. The association wired both governors asking them what step"
colorado-statesman,1917-08-18,1,1,0.649,protest to the president against riots and lynchings seeking public word of hope,parade|delegation,A delegation representing the Negro Silent Protest Parade presented a petition to President Wilson's Secretary Tumulty protesting violent attacks on African Americans at East St. Louis and other industrial centers.,"Washington, D.C. (White House); New York (Silent Protest Parade)","15,000 colored men, women and children in the Silent Protest Parade; delegation headed by James Weldon Johnson of the NAACP","August 1, 1917 (delegation visit); last Saturday in New York (parade, which would be July 28, 1917)","PRESIDENT ASKED

PROTEST TO THE PRESIDENT
INGS. ""SOME PUBLIC WOR
GIVE HOPE AND COUR

The following Special Dispatch
from Washington appeared in
the New York Evening Post of
August 1.

Washington, August 1.—Negroes of the nation carried to the White House today their protest against the arrogious attacks made upon them at East St. Louis and other industrial centers recently. They appealed to President Wilson through Secretary Tumulty to speak ""Some public word"" that would give hope and courage to"
metropolis-weekly-gazette,1922-03-31,1,7,0.653,speakers denounced the lynching and called for federal legislation to stop mob rule,mass_meeting,"An anti-lynching mass meeting held by the NAACP where a memorial to the United States Senate was read and adopted, featuring speeches from political figures and civil rights leaders opposing lynching.","Town Hall, New York","National Association for the Advancement of Colored People, Senator William M. Calder, Representative Leonidas C. Dyer, former Attorney General George W. Wickersham, James Weldon Johnson","March 1, 1922","The well known facts concerning the lynching of colored people show that during a period of years to a very great extent they have been deprived of life and property and have not enjoyed equal protection of the laws with white people. If the States have denied and deprived them of these constitutional privileges, Congress, under the Constitution, may afford them redress.

""The distinction above suggested is sought to be preserved in the bill passed by the House of Representatives on January 26th"
washington-tribune,1921-10-01,1,6,0.614,a committee of prominent colored citizens called upon the governor to present a petition,delegation,"A committee of ministers appointed by the Ministers Alliance called on District Commissioner Rudolph, the White House, and Secretary Hoover to demand increased colored representation on committees for the Disarmament Conference and to request that colored military troops be assigned to guard duties.","Washington, D.C.","Ministers Alliance Committee composed of Revs. H. J. Callis, E. W. D. Jones, C. M. Tanner, A. J. Mitchell, D. D. Turpeau and W. A. Taylor",Tuesday (October 1921),"FIRST COLORED WOMAN AVIATRIX

Miss Bessie Coleman, formerly a manicurist, in Chicago, arrived in New York Saturday, from Europe where she went to learn aviation. Miss Coleman is the first colored woman to take up aviation. She studied in France and plans to give demonstrations of her ability as a flyer, in this country. Miss Coleman has been in Europe only ten months, leaving her home in Chicago last December. She is only 24 years old.

MINISTERSACTIVE

Call on Rudolph, Hoover and at White House"
broad-ax,1912-07-27,1,0,0.613,colored men representing political league called upon presidential candidate for interview,delegation,"Five colored men representing the National Independent Political League met with Governor Woodrow Wilson to discuss his positions on federal law, justice, and equal rights regardless of race or color.","Governor's statehouse (state unspecified, but Wilson was Governor of New Jersey)","Rev. J. Milton Waldron, Dr. Wm. H. Harris, William Monroe Trotter, Robert N. Wood, and A. B. Cosey representing the National Independent Political League","Week prior to July 27, 1912","THE BROAD AX

Five Colored Men Representing the National Independent Political League

HEARTILY ACCORDED A LONG INTERVIEW WITH GOVERNOR WOODBROW WILSON DEMOCRATIC CANDIDATE FOR PRESIDENT OF THE UNITED STATES.

HE DECLARES THAT ""IF HE IS ELECTED PRESIDENT THAT HE WILL OBSERVE THE FEDERAL LAWS NOT ONLY IN LETTER AND SPIRIT BUT IN THE SPIRIT OF THE CHRISTIAN RELIGION.

HE LET IT BE KNOWN THAT HE WOULD CONTEND FOR EVEN HANDED JUSTICE AND EQUAL RIGHTS TO ALL REGARDLESS OF RACE OR COLOR.

Vol. XVII.

"
negro-world,1927-01-22,1,10,0.61,appeal to colored people to come together and march forward for justice,march,A call for 400 million Negroes across the Americas to march forward collectively in response to the Universal Negro Improvement Association's appeal for unified action.,"America, the West Indies, South and Central America",Negroes/African Americans across the Americas,,"Negroes, again we appeal to you to come together. Come together in America, the West Indies, South and Central America and let 400,000,000 of us march forward to the sacred duty that falls upon us, that of saving humanity, that of salvaging a sinful world.

Founder and President-General, Universal Negro Improvement Association."
